expenditure_date,payee_name,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x14
3/29/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
3/30/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
3/31/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/1/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,20,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/3/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/5/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/5/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
12/31/2021,Campaign Partners  Inc.,640 John Carlyle Street  Suite 403  Alexandria  Virginia 22314,Business/Group/Organization,59.4,Thompson  J. (James) Howard Citizens for,Media,Online Advertising,NA,Debit Card,NA,Electoral,Maintenance fee for maintaining online account.,NA
4/9/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/11/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/12/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/12/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/13/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/14/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/15/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/15/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/15/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/18/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/18/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/20/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/25/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/25/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/25/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/5/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/5/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/5/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/10/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/11/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/14/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,750,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/25/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/28/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/28/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/14/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/17/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/24/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/28/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/3/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/12/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/12/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,100,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/18/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/22/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/29/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/2/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/6/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/9/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,400,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/12/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,150,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/18/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,350,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/24/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,350,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/31/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,400,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/2/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/5/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/6/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/7/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/8/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/10/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/11/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/12/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/16/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/17/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/20/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,250,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/22/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/27/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/29/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/30/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/1/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,500,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/5/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/8/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/11/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/13/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/15/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,300,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
